,GameID,EnteredDateTimeUTC,EnteredDateTimeET,AwayTeam,HomeTeam,DoubleHeaderGame,AwayStartingPitcher,HomeStartingPicher,FinalScoreAway,FinalScoreHome
880,PIT201606080,2016-06-07 10:24,2016-06-07 6:24,New York Mets,Pittsburgh Pirates,0,n syndergaard,JTAILLON,6,5
881,CIN201606080,2016-06-07 12:19,2016-06-07 8:19,St. Louis Cardinals,Cincinnati Reds,0,j garcia,A SIMON,12,7
882,TEX201606080,2016-06-07 12:21,2016-06-07 8:21,Houston Astros,Texas Rangers,0,d fister,Y DARVISH,3,1
883,MIN201606080,2016-06-07 12:22,2016-06-07 8:22,Miami Marlins,Minnesota Twins,0,w chen,R NOLASCO,5,7
884,MIL201606080,2016-06-07 12:18,2016-06-07 8:18,Oakland Athletics,Milwaukee Brewers,0,j hahn,C ANDERSON,0,4
885,CHA201606080,2016-06-07 12:23,2016-06-07 8:23,Washington Nationals,Chicago White Sox,0,m scherzer,J SHIELDS,11,4
886,SEA201606080,2016-06-07 12:21,2016-06-07 8:21,Cleveland Indians,Seattle Mariners,0,c carrasco,T WALKER,0,5
887,LAN201606080,2016-06-07 12:20,2016-06-07 8:20,Colorado Rockies,Los Angeles Dodgers,0,c rusin,K MAEDA,1,0
888,SFN201606080,2016-06-07 12:23,2016-06-07 8:23,Boston Red Sox,San Francisco Giants,0,d price,M BUMGARNER,1,2
889,TEX201606090,2016-06-08 11:56,2016-06-08 7:56,Houston Astros,Texas Rangers,0,c mchugh,M PEREZ,3,5
890,COL201606090,2016-06-08 11:57,2016-06-08 7:57,Pittsburgh Pirates,Colorado Rockies,0,j locke,C BETTIS,5,11
891,TOR201606090,2016-06-09 6:19,2016-06-09 2:19,Baltimore Orioles,Toronto Blue Jays,0,t wilson,M STROMAN,6,5
892,NYA201606090,2016-06-08 11:56,2016-06-08 7:56,Los Angeles Angels of Anaheim,New York Yankees,0,j chacin,I NOVA,3,6
893,CIN201606090,2016-06-08 11:55,2016-06-08 7:55,St. Louis Cardinals,Cincinnati Reds,0,a wainwright,B FINNEGAN,3,2
894,MIN201606090,2016-06-08 11:57,2016-06-08 7:57,Miami Marlins,Minnesota Twins,0,t koehler,E SANTANA,10,3
895,MIL201606090,2016-06-08 11:55,2016-06-08 7:55,New York Mets,Milwaukee Brewers,0,b colon,J NELSON,5,2
896,CHA201606090,2016-06-08 11:57,2016-06-08 7:57,Washington Nationals,Chicago White Sox,0,g gonzalez,M GONZALEZ,1,3
897,SEA201606090,2016-06-08 11:56,2016-06-08 7:56,Cleveland Indians,Seattle Mariners,0,j tomlin,N KARNS,5,3
898,TOR201606100,2016-06-09 12:11,2016-06-09 8:11,Baltimore Orioles,Toronto Blue Jays,0,k gausman,M ESTRADA,3,4
899,NYA201606100,2016-06-09 12:10,2016-06-09 8:10,Detroit Tigers,New York Yankees,0,m pelfrey,C SABATHIA,0,4
900,WAS201606100,2016-06-09 12:05,2016-06-09 8:05,Philadelphia Phillies,Washington Nationals,0,j hellickson,S STRASBURG,6,9
